biosample_class	sample	experiment	doc_count
tissue	esophagus squamous epithelium	WGBS	2
tissue	esophagus squamous epithelium	ATAC-seq	1
tissue	esophagus squamous epithelium	DNase-seq	1
tissue	thymus	Histone ChIP-seq	17
tissue	thymus	DNase-seq	15
tissue	thymus	polyA plus RNA-seq	11
tissue	thymus	WGBS	3
tissue	thymus	TF ChIP-seq	2
tissue	thymus	microRNA counts	1
tissue	thymus	microRNA-seq	1
tissue	Peyer's patch	Histone ChIP-seq	23
tissue	Peyer's patch	TF ChIP-seq	8
tissue	Peyer's patch	DNase-seq	4
tissue	Peyer's patch	RAMPAGE	4
tissue	Peyer's patch	total RNA-seq	4
tissue	Peyer's patch	DNAme array	3
tissue	Peyer's patch	small RNA-seq	2
tissue	Peyer's patch	ATAC-seq	1
tissue	gastroesophageal sphincter	Histone ChIP-seq	16
tissue	gastroesophageal sphincter	TF ChIP-seq	13
tissue	gastroesophageal sphincter	DNAme array	4
tissue	gastroesophageal sphincter	RAMPAGE	4
tissue	gastroesophageal sphincter	small RNA-seq	4
tissue	gastroesophageal sphincter	total RNA-seq	4
tissue	gastroesophageal sphincter	ATAC-seq	2
tissue	gastroesophageal sphincter	WGBS	2
tissue	brain	DNase-seq	17
tissue	brain	Histone ChIP-seq	12
tissue	brain	polyA plus RNA-seq	6
tissue	brain	TF ChIP-seq	2
tissue	brain	microRNA-seq	2
tissue	brain	DNAme array	1
tissue	brain	RRBS	1
tissue	layer of hippocampus	Histone ChIP-seq	19
tissue	layer of hippocampus	total RNA-seq	12
tissue	layer of hippocampus	long read RNA-seq	5
tissue	layer of hippocampus	microRNA-seq	4
tissue	layer of hippocampus	polyA plus RNA-seq	1
tissue	left lung	DNase-seq	15
tissue	left lung	Histone ChIP-seq	12
tissue	left lung	polyA plus RNA-seq	6
tissue	left lung	long read RNA-seq	2
tissue	left lung	microRNA-seq	2
tissue	left lung	total RNA-seq	2
tissue	left lung	ATAC-seq	1
tissue	left lung	TF ChIP-seq	1
tissue	posterior cingulate gyrus	DNase-seq	41
tissue	head	polyA plus RNA-seq	20
tissue	head	total RNA-seq	9
tissue	head	CAGE	4
tissue	head	PAS-seq	4
tissue	prostate gland	Histone ChIP-seq	9
tissue	prostate gland	TF ChIP-seq	8
tissue	prostate gland	DNAme array	3
tissue	prostate gland	RAMPAGE	2
tissue	prostate gland	RNA microarray	2
tissue	prostate gland	microRNA counts	2
tissue	prostate gland	microRNA-seq	2
tissue	prostate gland	small RNA-seq	2
tissue	prostate gland	total RNA-seq	2
tissue	prostate gland	ATAC-seq	1
tissue	prostate gland	DNase-seq	1
tissue	prostate gland	RNA-PET	1
tissue	prostate gland	WGBS	1
tissue	right lobe of liver	ATAC-seq	6
tissue	right lobe of liver	DNase-seq	5
tissue	right lobe of liver	Histone ChIP-seq	5
tissue	right lobe of liver	total RNA-seq	5
tissue	right lobe of liver	microRNA-seq	4
tissue	right lobe of liver	RAMPAGE	2
tissue	right lobe of liver	TF ChIP-seq	2
tissue	right lobe of liver	long read RNA-seq	2
tissue	right lobe of liver	small RNA-seq	2
tissue	right lobe of liver	DNAme array	1
tissue	right lobe of liver	WGBS	1
tissue	right lobe of liver	microRNA counts	1
tissue	uterus	Histone ChIP-seq	12
tissue	uterus	TF ChIP-seq	6
tissue	uterus	total RNA-seq	3
tissue	uterus	DNAme array	2
tissue	uterus	DNase-seq	2
tissue	uterus	RAMPAGE	2
tissue	uterus	microRNA counts	2
tissue	uterus	microRNA-seq	2
tissue	uterus	small RNA-seq	2
tissue	uterus	ATAC-seq	1
tissue	uterus	RRBS	1
tissue	breast epithelium	Histone ChIP-seq	13
tissue	breast epithelium	TF ChIP-seq	8
tissue	breast epithelium	ATAC-seq	3
tissue	breast epithelium	DNAme array	3
tissue	breast epithelium	total RNA-seq	3
tissue	breast epithelium	DNase-seq	2
tissue	breast epithelium	RAMPAGE	2
tissue	chorionic villus	Histone ChIP-seq	24
tissue	chorionic villus	microRNA-seq	4
tissue	chorionic villus	polyA plus RNA-seq	4
tissue	large intestine	DNase-seq	15
tissue	large intestine	polyA plus RNA-seq	9
tissue	large intestine	Histone ChIP-seq	6
tissue	large intestine	WGBS	2
tissue	skeletal muscle tissue	Histone ChIP-seq	19
tissue	skeletal muscle tissue	DNAme array	2
tissue	skeletal muscle tissue	RRBS	2
tissue	skeletal muscle tissue	microRNA-seq	2
tissue	skeletal muscle tissue	polyA plus RNA-seq	2
tissue	skeletal muscle tissue	DNase-seq	1
tissue	skeletal muscle tissue	RAMPAGE	1
tissue	skeletal muscle tissue	microRNA counts	1
tissue	skeletal muscle tissue	small RNA-seq	1
tissue	skeletal muscle tissue	total RNA-seq	1
tissue	subcutaneous abdominal adipose tissue	Histone ChIP-seq	31
tissue	suprapubic skin	TF ChIP-seq	10
tissue	suprapubic skin	Histone ChIP-seq	6
tissue	suprapubic skin	DNAme array	4
tissue	suprapubic skin	RAMPAGE	4
tissue	suprapubic skin	total RNA-seq	4
tissue	suprapubic skin	DNase-seq	2
tissue	suprapubic skin	WGBS	1
tissue	psoas muscle	Histone ChIP-seq	11
tissue	psoas muscle	DNase-seq	5
tissue	psoas muscle	ATAC-seq	4
tissue	psoas muscle	WGBS	3
tissue	psoas muscle	polyA plus RNA-seq	3
tissue	psoas muscle	long read RNA-seq	2
tissue	psoas muscle	total RNA-seq	2
tissue	muscle of arm	DNase-seq	17
tissue	muscle of arm	polyA plus RNA-seq	12
tissue	muscle of leg	DNase-seq	13
tissue	muscle of leg	polyA plus RNA-seq	9
tissue	muscle of leg	Histone ChIP-seq	6
tissue	muscle of leg	WGBS	1
tissue	skin epidermis	Histone ChIP-seq	29
tissue	right atrium auricular region	Histone ChIP-seq	12
tissue	right atrium auricular region	TF ChIP-seq	3
tissue	right atrium auricular region	DNAme array	2
tissue	right atrium auricular region	DNase-seq	2
tissue	right atrium auricular region	RAMPAGE	2
tissue	right atrium auricular region	microRNA counts	2
tissue	right atrium auricular region	microRNA-seq	2
tissue	right atrium auricular region	total RNA-seq	2
tissue	right atrium auricular region	ATAC-seq	1
tissue	tibial artery	Histone ChIP-seq	18
tissue	tibial artery	DNAme array	4
tissue	tibial artery	DNase-seq	3
tissue	tibial artery	TF ChIP-seq	2
tissue	tibial artery	ATAC-seq	1
tissue	cerebellum	DNase-seq	9
tissue	cerebellum	Histone ChIP-seq	5
tissue	cerebellum	polyA plus RNA-seq	4
tissue	cerebellum	ATAC-seq	2
tissue	cerebellum	TF ChIP-seq	2
tissue	cerebellum	RAMPAGE	1
tissue	cerebellum	WGBS	1
tissue	cerebellum	microRNA-seq	1
tissue	cerebellum	small RNA-seq	1
tissue	cerebellum	total RNA-seq	1
tissue	lower leg skin	TF ChIP-seq	8
tissue	lower leg skin	DNAme array	4
tissue	lower leg skin	total RNA-seq	4
tissue	lower leg skin	DNase-seq	2
tissue	lower leg skin	RAMPAGE	2
tissue	lower leg skin	WGBS	2
tissue	lower leg skin	microRNA counts	2
tissue	lower leg skin	microRNA-seq	2
tissue	lower leg skin	Histone ChIP-seq	1
tissue	vagina	Histone ChIP-seq	9
tissue	vagina	TF ChIP-seq	7
tissue	vagina	DNAme array	2
tissue	vagina	DNase-seq	2
tissue	vagina	microRNA counts	2
tissue	vagina	microRNA-seq	2
tissue	vagina	RAMPAGE	1
tissue	vagina	small RNA-seq	1
tissue	vagina	total RNA-seq	1
tissue	colonic mucosa	Histone ChIP-seq	20
tissue	colonic mucosa	total RNA-seq	2
tissue	colonic mucosa	ATAC-seq	1
tissue	colonic mucosa	DNase-seq	1
tissue	colonic mucosa	microRNA-seq	1
tissue	muscle of back	DNase-seq	15
tissue	muscle of back	polyA plus RNA-seq	10
tissue	lower lobe of left lung	Histone ChIP-seq	12
tissue	lower lobe of left lung	DNase-seq	3
tissue	lower lobe of left lung	TF ChIP-seq	2
tissue	lower lobe of left lung	long read RNA-seq	2
tissue	lower lobe of left lung	microRNA-seq	2
tissue	lower lobe of left lung	total RNA-seq	2
tissue	lower lobe of left lung	ATAC-seq	1
tissue	aorta	Histone ChIP-seq	11
tissue	aorta	DNase-seq	2
tissue	aorta	WGBS	2
tissue	aorta	long read RNA-seq	2
tissue	aorta	microRNA-seq	2
tissue	aorta	polyA plus RNA-seq	2
tissue	aorta	total RNA-seq	2
tissue	right cardiac atrium	Histone ChIP-seq	5
tissue	right cardiac atrium	long read RNA-seq	4
tissue	right cardiac atrium	total RNA-seq	4
tissue	right cardiac atrium	ATAC-seq	3
tissue	right cardiac atrium	DNase-seq	3
tissue	right cardiac atrium	microRNA-seq	2
tissue	right cardiac atrium	WGBS	1
tissue	right cardiac atrium	polyA plus RNA-seq	1
tissue	ascending aorta	Histone ChIP-seq	12
tissue	ascending aorta	TF ChIP-seq	3
tissue	ascending aorta	DNAme array	2
tissue	ascending aorta	DNase-seq	2
tissue	ascending aorta	total RNA-seq	1
tissue	chorion	Histone ChIP-seq	10
tissue	chorion	microRNA-seq	4
tissue	chorion	polyA plus RNA-seq	4
tissue	chorion	DNase-seq	1
tissue	chorion	genotyping array	1
tissue	omental fat pad	DNAme array	4
tissue	omental fat pad	RAMPAGE	4
tissue	omental fat pad	total RNA-seq	4
tissue	omental fat pad	TF ChIP-seq	3
tissue	omental fat pad	DNase-seq	2
tissue	omental fat pad	ATAC-seq	1
tissue	omental fat pad	small RNA-seq	1
tissue	spinal cord	DNase-seq	6
tissue	spinal cord	Histone ChIP-seq	6
tissue	spinal cord	polyA plus RNA-seq	3
tissue	spinal cord	RAMPAGE	1
tissue	spinal cord	WGBS	1
tissue	spinal cord	small RNA-seq	1
tissue	spinal cord	total RNA-seq	1
tissue	endocrine pancreas	Histone ChIP-seq	14
tissue	endocrine pancreas	microRNA-seq	2
tissue	endocrine pancreas	polyA plus RNA-seq	2
tissue	esophagus	Histone ChIP-seq	12
tissue	esophagus	DNAme array	2
tissue	esophagus	WGBS	2
tissue	esophagus	polyA plus RNA-seq	2
tissue	thoracic aorta	Histone ChIP-seq	11
tissue	thoracic aorta	TF ChIP-seq	2
tissue	thoracic aorta	total RNA-seq	2
tissue	thoracic aorta	ATAC-seq	1
tissue	thoracic aorta	DNase-seq	1
tissue	thoracic aorta	RAMPAGE	1
tissue	gastrocnemius	total RNA-seq	14
tissue	gastrocnemius	DNase-seq	3
tissue	parathyroid adenoma	Histone ChIP-seq	15
tissue	parathyroid adenoma	TF ChIP-seq	2
tissue	trophoblast	Histone ChIP-seq	10
tissue	trophoblast	polyA plus RNA-seq	4
tissue	trophoblast	microRNA-seq	3
tissue	right lung	DNase-seq	11
tissue	right lung	polyA plus RNA-seq	5
tissue	temporal lobe	Histone ChIP-seq	13
tissue	temporal lobe	RAMPAGE	1
tissue	temporal lobe	small RNA-seq	1
tissue	temporal lobe	total RNA-seq	1
tissue	urinary bladder	Histone ChIP-seq	4
tissue	urinary bladder	polyA plus RNA-seq	3
tissue	urinary bladder	DNase-seq	2
tissue	urinary bladder	DNAme array	1
tissue	urinary bladder	RAMPAGE	1
tissue	urinary bladder	WGBS	1
tissue	urinary bladder	microRNA counts	1
tissue	urinary bladder	microRNA-seq	1
tissue	urinary bladder	small RNA-seq	1
tissue	urinary bladder	total RNA-seq	1
tissue	digestive system	polyA plus RNA-seq	8
tissue	digestive system	total RNA-seq	4
tissue	digestive system	CAGE	3
tissue	subcutaneous adipose tissue	DNAme array	4
tissue	subcutaneous adipose tissue	total RNA-seq	4
tissue	subcutaneous adipose tissue	RAMPAGE	3
tissue	subcutaneous adipose tissue	ATAC-seq	1
tissue	subcutaneous adipose tissue	TF ChIP-seq	1
tissue	subcutaneous adipose tissue	polyA plus RNA-seq	1
tissue	subcutaneous adipose tissue	small RNA-seq	1
tissue	caudate nucleus	Histone ChIP-seq	13
tissue	caudate nucleus	DNase-seq	1
tissue	mucosa of descending colon	Histone ChIP-seq	4
tissue	mucosa of descending colon	DNase-seq	3
tissue	mucosa of descending colon	ATAC-seq	2
tissue	mucosa of descending colon	long read RNA-seq	2
tissue	mucosa of descending colon	total RNA-seq	2
tissue	mucosa of descending colon	microRNA-seq	1
tissue	mucosa of rectum	Histone ChIP-seq	14
tissue	placental basal plate	Histone ChIP-seq	9
tissue	placental basal plate	polyA plus RNA-seq	4
tissue	placental basal plate	microRNA-seq	1
tissue	renal cortex interstitium	DNase-seq	11
tissue	renal cortex interstitium	polyA plus RNA-seq	3
tissue	central nervous system	polyA plus RNA-seq	7
tissue	central nervous system	CAGE	2
tissue	central nervous system	PAS-seq	2
tissue	central nervous system	total RNA-seq	2
tissue	duodenal mucosa	Histone ChIP-seq	13
tissue	germinal matrix	Histone ChIP-seq	10
tissue	germinal matrix	microRNA-seq	2
tissue	germinal matrix	polyA plus RNA-seq	1
tissue	renal pelvis	DNase-seq	10
tissue	renal pelvis	polyA plus RNA-seq	3
tissue	amnion	Histone ChIP-seq	6
tissue	amnion	microRNA-seq	3
tissue	amnion	polyA plus RNA-seq	3
tissue	angular gyrus	Histone ChIP-seq	12
tissue	cingulate gyrus	Histone ChIP-seq	12
tissue	muscle of trunk	Histone ChIP-seq	6
tissue	muscle of trunk	DNase-seq	3
tissue	muscle of trunk	polyA plus RNA-seq	2
tissue	muscle of trunk	WGBS	1
tissue	stomach smooth muscle	Histone ChIP-seq	12
tissue	substantia nigra	Histone ChIP-seq	12
tissue	arthropod fat body	polyA plus RNA-seq	6
tissue	arthropod fat body	total RNA-seq	3
tissue	arthropod fat body	CAGE	1
tissue	arthropod fat body	PAS-seq	1
tissue	cerebral cortex	long read RNA-seq	5
tissue	cerebral cortex	DNase-seq	3
tissue	cerebral cortex	microRNA-seq	2
tissue	cerebral cortex	WGBS	1
tissue	muscle layer of colon	Histone ChIP-seq	11
tissue	muscle layer of duodenum	Histone ChIP-seq	11
tissue	adipose tissue	polyA plus RNA-seq	5
tissue	adipose tissue	WGBS	3
tissue	adipose tissue	DNAme array	1
tissue	adipose tissue	Histone ChIP-seq	1
tissue	coronary artery	Histone ChIP-seq	3
tissue	coronary artery	DNAme array	2
tissue	coronary artery	DNase-seq	2
tissue	coronary artery	TF ChIP-seq	2
tissue	coronary artery	ATAC-seq	1
tissue	left cardiac atrium	ATAC-seq	3
tissue	left cardiac atrium	DNase-seq	2
tissue	left cardiac atrium	microRNA-seq	2
tissue	left cardiac atrium	total RNA-seq	2
tissue	left cardiac atrium	long read RNA-seq	1
tissue	left kidney	DNase-seq	9
tissue	left kidney	polyA plus RNA-seq	1
tissue	left ventricle myocardium inferior	Histone ChIP-seq	6
tissue	left ventricle myocardium inferior	DNase-seq	1
tissue	left ventricle myocardium inferior	long read RNA-seq	1
tissue	left ventricle myocardium inferior	microRNA-seq	1
tissue	left ventricle myocardium inferior	total RNA-seq	1
tissue	right kidney	DNase-seq	10
tissue	frontal cortex	DNase-seq	2
tissue	frontal cortex	ATAC-seq	1
tissue	frontal cortex	FAIRE-seq	1
tissue	frontal cortex	RAMPAGE	1
tissue	frontal cortex	polyA plus RNA-seq	1
tissue	frontal cortex	small RNA-seq	1
tissue	frontal cortex	total RNA-seq	1
tissue	left colon	DNase-seq	2
tissue	left colon	microRNA-seq	2
tissue	left colon	total RNA-seq	2
tissue	left colon	ATAC-seq	1
